ID,Name,Studio,Rotten,Genre,Domestic,Budget,Year
446,Piranha 3-D,The Weinstein Company,74,Comedy,25,24,2010
447,"Pirate Radio (The Boat that Rocked, UK)",Focus,60,Comedy,8.01,50,2009
448,"Pirates of the Caribbean:
On Stranger Tides",Disney,34,Action,241.07,250,2011
449,Pirates of the Caribbean: At World's End,Disney,45,Action,309.42,20,2007
450,Pitch Perfect,Uni.,81,Comedy,65.001093,17,2012
451,Planes,Buena Vista,26,Comedy,90.288712,50,2013
452,Planet 51 ,Independent,22,Adventure,42.19,70,2009
453,Please Give,Sony,88,Comedy,4.03,3,2010
454,Post Grad ,Fox,7,Comedy,6.38,15,2009
455,Predators,Fox,64,Action,52,40,2010
456,Premium Rush,Sony,76,Action,20.275446,35,2012
457,Premonition,Sony,8,Drama,47.85,22,2007
458,Priest,Sony,17,Action,29.14,60,2011
459,Prince of Persia: The Sands of Time,Disney,36,Action,90.76,200,2010
460,Prom Night,Independent,8,Tsh,43.87,18,2008
461,Prometheus,Fox,74,Action,126.477084,130,2012
462,Punisher: War Zone,Lionsgate,27,Action,8.05,35,2008
463,Push ,Summit,22,Action,31.81,38,2009
464,Puss In Boots,DreamWorks,83,Comedy,149.26,130,2011
465,Quantum of Solace,MGM,64,Action,168.37,230,2008
466,Quarantine,Sony,59,Tsh,31.69,12,2008
467,Race to Witch Mountain ,Buena Vista,42,Action,67.17,50,2009
468,Rachel Getting Married,Independent,85,Drama,12.8,12,2008
469,Rambo,Lionsgate,36,Action,42.75,47.5,2008
470,Rango,Paramount,88,Action,123.48,135,2011
471,Ratatouille,Disney,97,Comedy,206.45,25,2007
472,Real Steel,DreamWorks Pictures,58,Action,85.47,110,2011
473,Red,Summit,71,Action,90.38,58,2010
474,Red 2,Lionsgate / Summit,42,Action,53.26256,84,2013
475,Red Dawn (2012),FD,12,Action,44.806783,65,2012
476,Red Riding Hood,Warner Bros,11,Tsh,37.66,42,2011
477,Red State,Independent,57,Tsh,1.1,4,2011
478,Red Tails,Fox,40,Action,49.876377,58,2012
479,Religulous,Lionsgate,70,Documentary,13.01,2.5,2008
480,Remember Me,Summit,28,Drama,19.07,16,2010
481,Repo Men,Universal,22,Action,13.79,32,2010
482,Resident Evil: Afterlife,Highlight Communications,24,Action,60.13,60,2010
483,Resident Evil: Retribution,SGem,31,Tsh,42.345531,65,2012
484,Riddick,Universal,58,Action,42.025135,38,2013
485,Rio,20th Century Fox,71,Adventure,143.62,90,2011
486,Rise of the Guardians,P/DW,74,Adventure,103.412758,145,2012
487,Rise of the Planet of the Apes,20th Century Fox,83,Action,176.7,93,2011
488,Robin Hood,Universal,42,Action,105.27,200,2010
489,Rock of Ages,WB (NL),41,Musical,38.518613,75,2012
490,Role Models,Universal,77,Comedy,67.29,28,2008
491,Runner Runner,Fox,9,Tsh,19.316646,30,2013
492,Rush,Universal,89,Tsh,26.947624,38,2013
493,Rush Hour 3,Warner Bros.,20,Action,140.13,258,2007
494,Safe (2012),LGF,57,Action,17.14208,30,2012
495,Safe Haven,Relativity,12,Tsh,71.34912,28,2013
496,Safe House,Uni.,53,Tsh,126.373434,85,2012
497,Salmon Fishing in the Yemen,CBS,67,Comedy,9.047981,15,2011
498,Salt,Sony,62,Action,118.31,110,2010
499,Sanctum,Relativity Media,30,Action,23.21,30,2011
500,Saving Mr. Banks,Buena Vista,81,Drama,79.15831,35,2013
501,Saw IV,Independent,18,Tsh,63.3,150,2007
502,Saw VI ,Independent,40,Tsh,27.69,11,2009
503,Scary Movie 5,Weinstein / Dimension,4,Comedy,32.015787,20,2013
504,Scott Pilgrim vs. the World,Universal,81,Action,31.52,60,2010
505,Scream 4,Weinstein Company,58,Tsh,38.18,40,2011
506,Season Of The Witch,Relativity ,10,Action,24.83,40,2011
507,Semi-Pro,Warner Bros.,21,Comedy,33.48,2.6,2008
508,Seven Pounds,Sony,27,Drama,69.95,55,2008
509,Seven Psychopaths,CBS,83,Comedy,15.024049,15,2012
510,Sex and the City,Warner Bros.,49,Comedy,152.65,57.5,2008
511,Sex and the City 2,Warner Bros.,15,Comedy,95.35,100,2010
512,Sex Drive,Summit,46,Adventure,8.4,19,2008
513,Shame,Independent,80,Drama,3.09,6.5,2011
514,Shark Night 3D,Relativity,16,Tsh,18.88,25,2011
515,She's Out of My League,Paramount,57,Comedy,32.01,20,2010
516,Sherlock Holmes ,Warner Bros.,70,Action,209.02,90,2009
517,Sherlock Holmes 2,Warner Bros,60,Action,186.85,125,2011
518,Shoot 'Em Up,Warner Bros.,67,Action,12.81,70,2007
519,Shooter,Paramount,47,Action,47,9,2007
520,Shrek Forever After,Paramount,57,Comedy,238.74,165,2010
521,Shrek the Third,Paramount,42,Comedy,322.72,18,2007
522,Shutter,Fox,7,Tsh,25.93,8,2008
523,Shutter Island,Paramount,68,Drama,128.01,80,2010
524,Sicko,The Weinstein Company,93,Documentary,24.54,85,2007
525,Side Effects,Open Road Films,84,Tsh,32.172757,30,2013
526,Silver Linings Playbook,Wein.,92,Comedy,132.092958,21,2012
527,Sinister,LG/S,63,Tsh,48.086903,3,2012
528,Skyfall,Sony,92,Action,304.360277,200,2012
529,Skyline,Independent,16,Action,21.39,10,2010
530,Smart People,Independent,50,Comedy,9.51,7,2008
531,Smokin' Aces,Universal,27,Action,35.79,10,2010
532,Snitch,Lionsgate / Summit,56,Action,42.930462,15,2013
533,Solitary Man,Independent,81,Comedy,4.36,15,2009
534,Something Borrowed,Independent,,Comedy,39.05,35,2011
535,Sorority Row ,Summit,22,Tsh,11.97,12.5,2009
536,Soul Surfer,Sony,46,Drama,43.85,18,2011
537,Source Code,Summit Entertainment,92,Tsh,54.71,32,2011
538,Space Chimps,Independent*,36,Comedy,30.11,37,2008
539,Sparkle (2012),TriS,57,Drama,24.397469,14,2012
540,Speed Racer,Warner Bros.,38,Action,43.95,120,2008
541,Spider-Man 3,Sony,61,Action,336.53,75,2007
542,Spring Breakers,A24,65,Comedy,14.124284,5,2012
543,Spy Kids: All The Time in the World,Weinstein Company,22,Action,38.54,27,2011
544,Stand Up Guys,Lionsgate,37,Comedy,3.310031,1.8,2012
545,Star Trek ,Paramount,94,Action,257.7,140,2009
546,Star Trek Into Darkness,Paramount,87,Adventure,228.778661,190,2013
547,Star Wars: The Clone Wars,Independent,19,Adventure,35.16,8.5,2008
548,Stardust,Paramount,76,Adventure,38.63,70,2007
549,Step Brothers,Sony,54,Comedy,100.47,65,2008
550,Step Up 2: The Streets,Disney,26,Drama,58.02,17.5,2008
551,Step Up 3D,Summit,46,Drama,42.4,30,2010
552,Stoker,Fox Searchlight,68,Tsh,1.714221,12,2013
553,Stomp the Yard,Independent,27,Musical,61.36,35,2007
554,Stone,Independent,49,Drama,1.81,22,2010
555,Stop-Loss,Paramount,65,Drama,10.92,25,2008
556,Street Fighter: The Legend of Chun-Li ,Fox,16,Action,8.74,50,2009
557,Street Kings,Fox,37,Action,26.42,20,2008
558,Sucker Punch,Legendary Pictures,23,Action,36.39,82,2011
559,Sunshine Cleaning ,Independent,72,Comedy,12.06,5,2008
560,Super 8 ,Paramount,82,Tsh,127,50,2011
561,Superbad,Sony,88,Comedy,121.46,10,2007
562,Superhero Movie,The Weinstein Company,15,Comedy,25.88,65,2008
563,Surf's Up,Sony,78,Comedy,58.87,17.5,2007
564,Surrogates ,Buena Vista,39,Action,38.57,80,2009
565,Sweeney Todd: The Demon Barber of Fleet Street,Warner Bros.,86,Musical,52.9,150,2007
566,Swing Vote,Disney,36,Comedy,16.29,20,2008
567,Take Me Home Tonight,Relativity,28,Comedy,6.93,25,2011
568,Take Shelter,Independent,92,Drama,1.73,5,2011
569,Taken ,Fox,58,Action,145,25,2008
570,Taken 2,Fox,21,Tsh,139.854287,45,2012
571,Takers,Sony,27,Action,57.74,32,2010
572,Taking Woodstock ,Focus,48,Comedy,7.46,29,2009
573,Tangled,Disney,89,Musical,200.82,260,2010
574,Ted,Uni.,68,Comedy,218.815487,50,2012
575,Terminator Salvation ,Warner Bros.,33,Action,125.3,200,2009
576,That's My Boy,Sony,20,Comedy,36.931089,70,2012
577,The A-Team,Fox,47,Action,77.22,100,2010
578,The Adjustment Bureau,Independent,72,Tsh,62.5,50.2,2011
579,The Adventures of Tintin,Paramount,74,Adventure,77.59,130,2011
580,The Amazing Spider-Man,Sony,73,Action,262.030663,230,2012
581,The Artist,Weinstein Company,97,Drama,44.67,16,2011
582,The Back-up Plan,CBS,20,Comedy,37.49,35,2010
583,The Bank Job,Independent,78,Tsh,30.06,20,2008
584,The Beaver,Summit Entertainment,62,Drama,0.97,21,2011
585,The Best Exotic Marigold Hotel,FoxS,78,Comedy,46.412041,10,2011
586,The Best Man Holiday,Universal,67,Comedy,70.525195,17,2013
587,The Big Wedding,Lionsgate,7,Comedy,21.819348,35,2013
588,The Big Year,Independent,38,Comedy,7.2,41,2011
589,The Bling Ring,A24,60,Comedy,5.845732,8,2013
590,The Book of Eli        ,Independent,48,Action,94.84,80,2010
591,The Bounty Hunter,Sony,7,Action,67.06,40,2010
592,The Bourne Legacy,Uni.,56,Action,113.20387,125,2012
593,The Bourne Ultimatum,Universal,93,Tsh,227.47,130,2007
594,The Box ,Warner Bros.,46,Drama,15.1,30,2009
595,The Boy in the Striped Pyjamas,Independent,63,Drama,9.05,12.5,2008
596,The Bucket List,Warner Bros.,41,Drama,93.47,180,2007
597,The Butler,Weinstein Company,73,Drama,116.632095,30,2013
598,The Cabin in the Woods,LGF,92,Tsh,42.073277,30,2012
599,The Call,TriStar,43,Tsh,51.872378,13,2013
600,The Canyons,IFC,22,Tsh,0.056825,0.25,2013
601,The Change Up,Relativity Media,24,Comedy,37.08,52,2011
602,The Chronicles of Narnia: Prince Caspian,Disney,66,Action,141.62,200,2008
603,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,49,Adventure,104.39,155,2010
604,The Company Men,Weinstein Company,66,Drama,4.44,15,2010
605,The Company You Keep,Sony Classics,55,Tsh,5.133027,2,2012
606,The Conjuring,Warner Bros,86,Tsh,137.400141,20,2013
607,The Conspirator,Independent,56,Drama,11.54,25,2010
608,The Crazies,Liberty Starz,72,Tsh,39.12,20,2010
609,The Croods,Fox,70,Adventure,187.168425,135,2013
610,The Darjeeling Limited,Fox,67,Drama,11.9,40,2007
611,The Dark Knight,Warner Bros.,94,Tsh,534.86,185,2008
612,The Dark Knight Rises,WB,88,Action,448.139099,250,2012
613,The Day the Earth Stood Still ,Fox,19,Tsh,79.37,100,2008
614,The Debt,Universal,76,Tsh,31.18,20,2010
615,The Descendants,20th Century Fox,89,Drama,82.58,20,2011
616,The Desolation of Smaug,Warner Bros,75,Adventure,252.326338,225,2013
617,The Devil Inside,Par.,6,Tsh,53.261944,1,2012
618,The Dictator,Par.,57,Comedy,59.650222,65,2012
619,The Dilemma,Spyglass Entertainment,23,Comedy,48.48,70,2011
620,The Duchess,Paramount,60,Drama,13.85,13.5,2008
621,The Eagle,Universal,39,Action,19.49,25,2011
622,The Expendables,Independent,40,Action,103.07,82,2010
623,The Expendables 2,LGF,65,Action,85.028192,100,2012
624,The Eye,Lionsgate,22,Tsh,31.42,12,2008
625,The Fifth Estate,Buena Vista,37,Tsh,3.255008,28,2013
626,The Fighter,Paramount,91,Drama,93.62,25,2010
627,The Final Destination ,Warner Bros.,29,Tsh,66.5,40,2009
628,The Five-Year Engagement,Uni.,63,Comedy,28.835528,30,2012
629,The Forbidden Kingdom,Relativity Media,64,Action,52.08,55,2008
630,The Game Plan,Disney,27,Comedy,90.65,85,2007
631,The Girl With The Dragon Tattoo,Sony,87,Tsh,102.06,90,2011
632,The Golden Compass,Warner Bros.,42,Action,70.11,24,2007
633,The Great Gatsby,Warner Bros,49,Drama,144.840419,105,2013
634,The Green Hornet,Columbia,44,Action,98.78,120,2011
635,The Grey,ORF,79,Action,51.580236,25,2011
636,The Guilt Trip,Par.,38,Comedy,37.134215,40,2012
637,The Hangover ,Warner Bros.,79,Comedy,277.3,35,2009
638,The Hangover Part II,Legendary Pictures,35,Comedy,254.46,80,2011
639,The Hangover Part III,Warner Bros,19,Comedy,112.200072,103,2013
640,The Happening,Fox,19,Tsh,64.51,48,2008
641,The Haunting in Connecticut ,Lionsgate,17,Drama,55.39,30,2009
642,The Haunting of Molly Hartley,Independent,3,Tsh,13.56,5,2008
643,The Heartbreak Kid,Paramount,30,Comedy,36.79,80,2007
644,The Help,DreamWorks Pictures,75,Drama,169.71,25,2011
645,The Hills Have Eyes 2,Independent,11,Tsh,20.8,61,2007
646,The Hobbit: An Unexpected Journey,WB,65,Adventure,303.003568,200,2012
647,The Host,Open Road Films,8,Tsh,26.627201,40,2013
648,The House Bunny,Sony,39,Comedy,48.24,25,2008
649,The Hunger Games,LGF,84,Adventure,408.010692,78,2012
650,The Hurt Locker ,Independent,97,Drama,17.01,15,2008
651,The Iceman,Millenium Entertainment,66,Tsh,1.969193,10,2012
652,The Ides of March,Columbia,85,Tsh,40.96,12.5,2011
653,The Impossible,LG/S,81,Drama,19.019882,30,2012
654,The Incredible Hulk,Universal,67,Action,134.81,137.5,2008
655,The Informant! ,Warner Bros.,78,Comedy,33.31,22,2009
656,The International ,Sony,58,Action,25.4,50,2009
657,The Internship,Fox,34,Comedy,44.672764,58,2013
658,The Invasion,Warner Bros.,19,Tsh,15.07,20,2007
659,The Invention of Lying ,Warner Bros.,56,Comedy,18.45,18.5,2009
660,The Iron Lady,Weinstein Company,53,Drama,30.02,13,2011
661,The Joneses,Independent,61,Comedy,1.48,10,2009
662,The Karate Kid,Sony,66,Action,176.59,40,2010
663,The Kids Are All Right,Independent,94,Comedy,20.81,4,2010
664,The Kingdom,,52,Action,47.54,25,2007
665,The Kings of Summer,CBS,76,Comedy,1.31559,2,2013
666,The Kite Runner,Paramount,66,Drama,15.8,160,2007
667,The Last Airbender,Paramount,6,Action,131.77,150,2010
668,The Last Exorcism,Independent,73,Drama,41.03,1.8,2010
669,The Last Exorcism Part II,CBS,16,Tsh,15.179302,5,2013
670,The Last Song,Disney,19,Drama,62.95,20,2010
671,The Last Stand,Lionsgate,60,Action,12.050299,45,2013
672,The Lincoln Lawyer,Lionsgate,84,Drama,58.01,40,2011
673,The Lone Ranger,Buena Vista,31,Action,89.302115,215,2013
674,The Longshots,Independent,39,Comedy,11.54,30,2008
675,The Losers,Warner Bros.,47,Action,23.59,25,2010
676,The Love Guru,Paramount,14,Comedy,32.24,62,2008
677,The Lovely Bones ,Paramount,32,Drama,44,65,2009
678,The Lucky One,WB,20,Drama,60.457138,25,2012
679,The Master,Wein.,85,Drama,16.377274,32,2012
680,The Mechanic,Independent,53,Action,29.12,40,2011
681,The Men Who Stare at Goats ,Independent,52,Comedy,32.4,25,2009
682,The Mist,The Weinstein Company,72,Tsh,25.59,85,2007
683,The Mortal Instruments: City of Bones,Sony / Screen Gems,12,Action,31.165421,60,2013
684,The Mummy: Tomb of the Dragon Emperor,Universal,14,Action,102.49,145,2008
685,The Muppets,Disney,97,Comedy,88.63,45,2011
686,The Nanny Diaries,The Weinstein Company,33,Comedy,25.93,30,2007
687,The Other Boleyn Girl,Independent,41,Drama,26.81,40,2008
688,The Other Guys,Sony,78,Action,119.22,100,2010
689,The Perks of Being a Wallflower,LG/S,85,Drama,17.742948,13,2012
690,The Pink Panther 2 ,Sony,12,Adventure,35.92,59,2009
691,The Pirates! Band of Misfits,Sony,86,Comedy,31.051126,55,2012
692,The Place Beyond the Pines,Focus Features,81,Drama,21.403519,15,2012
693,The Possession,LGF,40,Tsh,49.130154,14,2012
694,The Princess and the Frog ,Disney,84,Comedy,104.4,105,2009
695,The Proposal ,Disney,43,Comedy,163.96,40,2009
696,The Purge,Universal,37,Tsh,64.473115,3,2013
697,The Reaping,,9,Tsh,25.13,75,2007
698,The Rite,Warner Bros,20,Tsh,33.05,37,2011
699,The Road ,The Weinstein Company,75,Adventure,8.12,25,2009
700,The Roommate,Independent,4,Tsh,37.3,16,2011
701,The Ruins,Paramount,46,Tsh,17.43,25,2008
702,The Rum Diary,Independent,50,Drama,13.11,45,2011
703,The Secret Life of Bees,Fox,56,Drama,37.77,11,2008
704,The Secret Life of Walter Mitty,Fox,48,Drama,56.34268,90,2013
705,The Simpsons Movie,Fox,90,Comedy,183.14,40,2007
706,The Sitter,Fox,22,Comedy,30.44,25,2011
707,The Smurfs,Sony Pictures Animation,23,Comedy,142.61,110,2011
708,The Smurfs 2,Sony,14,Comedy,71.017784,105,2013
709,The Soloist ,Paramount,56,Drama,31.7,60,2009
710,The Sorcerer's Apprentice,Disney,42,Action,63.15,150,2010
711,The Spectacular Now,A24,92,Drama,6.854611,2.5,2013
712,The Spirit,Lionsgate,14,Action,19.81,6,2008
713,The Strangers,Relativity Media,44,Tsh,52.6,9,2008
714,The Switch,Independent,52,Comedy,27.78,19,2010
715,The Taking of Pelham 1 2 3 ,Sony,51,Action,65.45,100,2009
716,The Tale of Despereaux,Universal,54,Adventure,50.88,55,2008
717,The Thing,Universal,36,Tsh,16.93,38,2011
718,The Three Musketeers,Independent,24,Action,20.37,75,2011
719,The Three Stooges,Fox,52,Comedy,44.338224,30,2012
720,The Time Traveler's Wife ,Paramount,38,Drama,63.41,39,2009
721,The To-Do List,CBS,52,Comedy,3.491669,1.5,2013
722,The Tree Of Life,Independent,84,Drama,13.3,32,2011
723,The Twilight Saga: Breaking Dawn Part 2,LG/S,48,Adventure,292.324737,120,2012
724,The Twilight Saga: Eclipse,Summit,50,Drama,300.53,68,2010
725,The Twilight Saga: New Moon ,Summit,27,Drama,296.62,50,2009
726,The Ugly Truth ,Independent,14,Comedy,88.9,38,2009
727,The Unborn,Relativity Media,11,Tsh,42.67,16,2009
728,The Visitor,Independent,92,Drama,9.43,4,2007
729,The Vow,SGem,29,Drama,125.01403,30,2012
730,The Watch,Fox,17,Action,35.353,68,2012
731,"The Way, Way Back",Fox Searchlight,85,Drama,21.506546,4.6,2013
732,The Wolf of Wall Street,Paramount,77,Comedy,98.508822,100,2013
733,The Wolfman,Universal,33,Drama,61.98,150,2010
734,The Wolverine,Fox,69,Action,132.556852,120,2013
735,The Woman in Black,CBS,66,Drama,54.33329,17,2012
736,The Women,Warner Bros.,13,Drama,26.9,16,2008
737,The X-Files: I Want to Believe,Fox,32,Tsh,20.98,35,2008
738,There Will Be Blood,Paramount,91,Drama,40.22,20,2007
739,THG: Catching Fire,Lionsgate,90,Action,420.021917,130,2013
740,This Is 40,Uni.,51,Comedy,67.544505,35,2012
741,This is the End,Sony,83,Comedy,101.470202,32,2013
742,Thor,Disney,77,Action,181.03,150,2011
743,Thor: The Dark World,Buena Vista,65,Action,204.509243,170,2013
744,Tinker Tailor Soldier Spy,Focus,83,Tsh,24.15,21,2011
745,TMNT,,33,Action,54.15,80,2007
746,Tooth Fairy,Fox,16,Comedy,60.02,48,2010
747,Total Recall (2012),Sony,30,Action,58.877969,125,2012
748,Tower Heist,Relativity,68,Comedy,78.04,75,2011
749,Toy Story 3,Disney,99,Adventure,415,200,2010
750,Traitor,Liberty Starz,55,Tsh,23.53,22,2008
751,Transformers,Paramount,57,Action,319.25,39,2007
752,Transformers: Dark of the Moon,DreamWorks Pictures,35,Action,352.39,195,2011
753,Transformers: Revenge of the Fallen ,Paramount,20,Action,402.1,210,2009
754,Transporter 3,Independent,36,Action,31.72,30,2008
755,Tron: Legacy,Independent,50,Action,172.06,170,2010
756,Tropic Thunder,Paramount,83,Comedy,110.52,90,2008
757,True Grit,Paramount,96,Adventure,171.24,38,2010
758,Turbo,Fox,67,Comedy,83.028128,135,2013
759,Twilight,Summit,49,Drama,192.77,37,2008
760,Twilight: Breaking Dawn,Independent,26,Drama,281.29,110,2011
761,Tyler Perry's Meet the Browns,Independent,31,Drama,41.98,20,2008
762,Tyler Perry's The Family That Preys,Independent,51,Drama,37.11,10,2008
763,Tyler Perry's Why Did I get Married,Independent,46,Comedy,55.2,25,2007
764,Underworld Awakening,SGem,26,Action,62.321039,70,2012
765,Underworld: Rise of the Lycans ,Sony,30,Action,45.8,35,2009
766,Unknown,Independent,55,Tsh,63.69,30,2011
767,Unstoppable,Fox,86,Action,81.56,95,2010
768,Untraceable,Independent,14,Tsh,28.69,35,2008
769,Up ,Disney,98,Adventure,293,175,2009
770,Up in the Air ,Paramount,90,Drama,83.82,25,2009
771,Vacancy,Sony,55,Comedy,19.36,45,2007
772,Valentine's Day,Warner Bros.,17,Comedy,110.49,52,2010
773,Valkyrie,MGM,58,Tsh,83.08,75,2008
774,Vampires Suck,Independent,4,Comedy,36.66,20,2010
775,Vicky Cristina Barcelona,The Weinstein Company,82,Drama,23.22,16,2008
776,W.,Lionsgate,60,Drama,25.53,25.1,2008
777,Waitress,Independent,89,Drama,19.07,90,2007
778,Walk Hard: The Dewey Cox Story,Sony,75,Comedy,18.32,150,2007
779,Walking with Dinosaurs,Fox,25,Documentary,34.691563,80,2013
780,Wall Street: Money Never Sleeps,Independent,54,Drama,52.47,70,2010
781,WALL-E,Disney,96,Adventure,223.81,180,2008
782,Wanted,Universal,73,Action,134.51,75,2008
783,War Horse,Disney,77,Drama,79.88,66,2011
784,Warm Bodies,Lionsgate / Summit,80,Tsh,66.380662,35,2013
785,Warrior,Lionsgate,83,Action,13.66,25,2011
786,Watchmen ,Warner Bros.,64,Action,107.5,130,2009
787,Water For Elephants,20th Century Fox,60,Drama,58.71,38,2011
788,We Bought a Zoo,Fox,63,Comedy,75.62,50,2011
789,We Own the Night,Sony,55,Drama,28.56,100,2007
790,We're the Millers,Warner Bros,47,Comedy,150.394119,37,2013
791,"Welcome Home, Roscoe Jenkins",Universal,24,Comedy,42.44,35,2008
792,What Happens in Vegas,Fox,28,Comedy,80.28,35,2008
793,What to Expect When You're Expecting,LGF,22,Comedy,41.152203,40,2012
794,What's Your Number,20th Century Fox,24,Comedy,14.01,20,2011
795,Whatever Works ,Independent,50,Comedy,5.3,15,2009
796,Where the Wild Things Are ,Warner Bros.,73,Adventure,77.23,100,2009
797,Whip It ,Independent,84,Drama,13,15,2009
798,White House Down,Sony,50,Action,73.103784,150,2013
799,Whiteout ,Warner Bros.,7,Action,10.28,35,2009
800,Why Did I Get Married Too?,Lionsgate,27,Comedy,60.09,20,2010
801,Wild Hogs,Disney,14,Comedy,168.27,175,2007
802,Winnie The Pooh,Disney,91,Adventure,26.69,30,2011
803,Winter's Bone,Independent,94,Drama,6.53,2,2010
804,World War Z,Paramount,67,Action,202.359711,190,2013
805,Wrath of the Titans,WB,25,Action,83.670083,150,2012
806,Wreck-It Ralph,BV,86,Comedy,189.422889,165,2012
807,X-Men Origins: Wolverine ,Fox,37,Action,179.9,150,2009
808,X-Men: First Class,Disney,87,Action,146.41,160,2011
809,Year One ,Sony,14,Adventure,43.33,60,2009
810,Yes Man,Warner Bros.,43,Comedy,97.69,70,2008
811,Yogi Bear,,14,Comedy,100.25,80,2010
812,You Again,Independent,18,Comedy,25.7,20,2010
813,You Don't Mess with the Zohan,Sony,36,Comedy,100.02,80,2008
814,You Will Meet a Tall Dark Stranger,Independent,43,Comedy,3.24,22,2010
815,Your Highness,Universal,26,Comedy,21.6,49.9,2011
816,Youth in Revolt,The Weinstein Company,68,Comedy,15.28,18,2009
817,Zack and Miri Make a Porno,The Weinstein Company,64,Comedy,31.46,24,2008
818,Zero Dark Thirty,Sony,93,Drama,95.720716,40,2012
819,Zodiac,Paramount,89,Tsh,33.08,35,2007
820,Zombieland ,Sony,90,Action,75.59,23.6,2009
821,Zookeeper,Happy Madison Productions,14,Comedy,80.36,80,2011
